[2025-03-10 20:30:54] 请在 10 秒内选择要执行的步骤（1-4），超时将按顺序执行：
[2025-03-10 20:30:54] 1. 执行 签到指令
[2025-03-10 20:30:54] 2. 执行 三月七助手的一条龙
[2025-03-10 20:30:54] 3. 执行 绝区零 和 better的一条龙
[2025-03-10 20:30:54] 4. 按顺序执行所有步骤
[2025-03-10 20:30:58] 按顺序执行所有步骤
[2025-03-10 20:31:51] StarRail.exe 已经运行了 0 秒
[2025-03-10 20:31:57] StarRail.exe 已经运行了 5 秒
[2025-03-10 20:32:02] StarRail.exe 已经运行了 10 秒
[2025-03-10 20:32:07] StarRail.exe 已经运行了 15 秒
[2025-03-10 20:32:13] StarRail.exe 已经运行了 21 秒
[2025-03-10 20:32:18] StarRail.exe 已经运行了 26 秒
[2025-03-10 20:32:23] StarRail.exe 已经运行了 31 秒
[2025-03-10 20:32:29] StarRail.exe 已经运行了 37 秒
[2025-03-10 20:32:34] StarRail.exe 已经运行了 42 秒
[2025-03-10 20:32:40] StarRail.exe 已经运行了 48 秒
[2025-03-10 20:32:45] StarRail.exe 已经运行了 53 秒
[2025-03-10 20:32:50] StarRail.exe 已经运行了 58 秒
[2025-03-10 20:32:55] StarRail.exe 已经运行了 64 秒
[2025-03-10 20:33:01] StarRail.exe 已经运行了 69 秒
[2025-03-10 20:33:06] StarRail.exe 已经运行了 74 秒
[2025-03-10 20:33:11] StarRail.exe 已经运行了 79 秒
[2025-03-10 20:33:17] StarRail.exe 已经运行了 85 秒
[2025-03-10 20:33:22] StarRail.exe 已经运行了 90 秒
[2025-03-10 20:33:27] StarRail.exe 已经运行了 95 秒
[2025-03-10 20:33:33] StarRail.exe 已经运行了 101 秒
[2025-03-10 20:33:38] StarRail.exe 已经运行了 106 秒
[2025-03-10 20:33:43] StarRail.exe 已经运行了 111 秒
[2025-03-10 20:33:49] StarRail.exe 已经运行了 117 秒
[2025-03-10 20:33:54] StarRail.exe 已经运行了 122 秒
[2025-03-10 20:33:59] StarRail.exe 已经运行了 127 秒
[2025-03-10 20:34:05] StarRail.exe 已经运行了 133 秒
[2025-03-10 20:34:10] StarRail.exe 已经运行了 138 秒
[2025-03-10 20:34:15] StarRail.exe 已经运行了 143 秒
[2025-03-10 20:34:21] StarRail.exe 已经运行了 149 秒
[2025-03-10 20:34:26] StarRail.exe 已经运行了 154 秒
[2025-03-10 20:34:31] StarRail.exe 已经运行了 159 秒
[2025-03-10 20:34:36] StarRail.exe 已经运行了 165 秒
[2025-03-10 20:34:42] StarRail.exe 已经运行了 170 秒
[2025-03-10 20:34:47] StarRail.exe 已经运行了 175 秒
[2025-03-10 20:34:52] StarRail.exe 已经运行了 181 秒
[2025-03-10 20:34:58] StarRail.exe 已经运行了 186 秒
[2025-03-10 20:35:03] StarRail.exe 已经运行了 191 秒
[2025-03-10 20:35:08] StarRail.exe 已经运行了 197 秒
[2025-03-10 20:35:14] StarRail.exe 已经运行了 202 秒
[2025-03-10 20:35:19] StarRail.exe 已经运行了 207 秒
[2025-03-10 20:35:24] StarRail.exe 已经运行了 212 秒
[2025-03-10 20:35:30] StarRail.exe 已经运行了 218 秒
[2025-03-10 20:35:35] StarRail.exe 已经运行了 223 秒
[2025-03-10 20:35:40] StarRail.exe 已经运行了 228 秒
[2025-03-10 20:35:47] StarRail.exe 已经运行了 236 秒
[2025-03-10 20:35:53] StarRail.exe 已经运行了 241 秒
[2025-03-10 20:35:58] StarRail.exe 已经运行了 246 秒
[2025-03-10 20:36:03] StarRail.exe 已经运行了 251 秒
[2025-03-10 20:36:09] StarRail.exe 已经运行了 257 秒
[2025-03-10 20:36:14] StarRail.exe 已经运行了 262 秒
[2025-03-10 20:36:19] StarRail.exe 已经运行了 267 秒
[2025-03-10 20:36:24] StarRail.exe 已经运行了 273 秒
[2025-03-10 20:36:30] StarRail.exe 已经运行了 278 秒
[2025-03-10 20:36:35] StarRail.exe 已经运行了 283 秒
[2025-03-10 20:36:40] StarRail.exe 已经运行了 289 秒
[2025-03-10 20:36:46] StarRail.exe 已经运行了 294 秒
[2025-03-10 20:36:51] StarRail.exe 已经运行了 299 秒
[2025-03-10 20:36:56] StarRail.exe 已经运行了 304 秒
[2025-03-10 20:37:02] StarRail.exe 已经运行了 310 秒
[2025-03-10 20:37:07] 
StarRail.exe 不在运行
[2025-03-10 20:37:12] 
ZenlessZoneZero.exe 不在运行
